strava,google
324.4,326.95901489258
324.6,327.88656616211
324.9,327.69357299805
325.5,326.63751220703
325.9,326.73965454102
326.3,326.91589355469
326.7,327.59924316406
327.2,328.44458007812
327.7,328.87347412109
328,328.48040771484
328.4,329.90698242188
328.7,330.82550048828
329,331.54626464844
329.2,332.88150024414
329.5,335.2314453125
329.9,339.19543457031
330.3,337.8935546875
330.5,338.69436645508
330.8,340.5380859375
331.2,342.7297668457
331.6,340.78283691406
332,342.7414855957
332.4,343.72583007812
332.8,342.42965698242
333.1,338.16998291016
333.7,339.91891479492
335.5,334.17691040039
337,328.55014038086
336.9,328.22402954102
336.8,329.82559204102
336.7,330.78964233398
336.6,331.70831298828
336.5,331.67108154297
336.4,330.51907348633
336.2,330.74560546875
336.1,330.82635498047
336,329.52951049805
335.6,330.11352539062
335.1,330.91259765625
334.5,330.98345947266
334,329.48773193359
333.9,328.38763427734
333.7,328.61557006836
333.6,329.51416015625
333.5,328.70288085938
333.4,329.63061523438
333.3,329.53851318359
333.2,329.65191650391
333.2,329.87887573242
333.1,329.86364746094
333,329.81604003906
333,329.63610839844
332.9,329.8525390625
332.8,330.19879150391
332.7,330.32635498047
332.7,330.20703125
332.6,330.14636230469
332.5,330.37515258789
332.4,330.24380493164
332.1,330.81939697266
332.1,331.03582763672
332,330.63897705078
331.8,330.90612792969
331.7,331.25143432617
331.5,330.79794311523
331.4,330.42294311523
331.3,330.3493347168
331.2,330.36322021484
331.1,329.97543334961
331,329.8869934082
331,329.89474487305
331,329.9052734375
330.9,329.85174560547
330.9,329.85174560547
330.8,329.97808837891
330.8,330.1794128418
330.6,330.6208190918
329.9,330.84326171875
328.7,330.39395141602
328.2,330.26031494141
328,330.07080078125
327.8,330.44125366211
327.7,330.45419311523
327.7,330.50424194336
327.6,330.56887817383
327.6,330.61318969727
327.5,330.51983642578
327.4,329.95263671875
327.2,329.72018432617
327.1,329.15557861328
327,329.84155273438
326.8,329.54592895508
326.6,328.48422241211
326.4,329.38119506836
326.3,329.65902709961
326.2,329.86547851562
326.2,329.32009887695
326.1,328.40921020508
326,328.65948486328
326,328.75296020508
326,328.66360473633
325.9,327.78918457031
325.7,327.06262207031
325.7,327.16271972656
325.6,327.22598266602
325.6,326.96487426758
325.5,326.98657226562
325.3,327.43756103516
325.2,327.56573486328
324.2,327.68383789062
323,327.74505615234
322.7,330.90103149414
322.5,338.12194824219
322.3,339.56567382812
322,336.85821533203
322.4,332.591796875
322.7,334.73809814453
322.8,333.13049316406
323,334.55874633789
323,332.82849121094
323.1,331.93252563477
323.3,330.24987792969
323.8,328.11337280273
325.1,329.25830078125
326.3,335.23120117188
327.1,336.13134765625
327.8,338.68878173828
328.4,338.30392456055
329.3,334.92202758789
330.8,333.82992553711
331.7,332.86190795898
332.7,332.19567871094
333.9,332.66958618164
334.2,332.95281982422
334.5,332.82391357422
334.7,333.50924682617
334.9,333.64535522461
335,333.79235839844
335,333.40240478516
335,333.14797973633
335,333.63491821289
335.1,333.73577880859
335.1,333.7253112793
335.1,333.5234375
335.1,333.5234375
335.1,333.12637329102
335.1,332.67120361328
335.2,333.70092773438
335.2,333.70092773438
335.2,334.23748779297
335.3,335.08877563477
335.3,335.74844360352
335.6,334.39691162109
335.9,333.30474853516
336.5,334.33190917969
337.4,336.36950683594
337.8,335.46780395508
338,333.7848815918
338.2,333.85375976562
338.3,333.97451782227
338.4,333.74273681641
338.5,333.90042114258
338.5,333.8076171875
338.6,334.18682861328
338.6,334.18682861328
338.7,334.29989624023
338.7,334.18814086914
338.7,334.18814086914
338.8,334.21240234375
339.4,336.54754638672
340.3,338.20239257812
340.4,337.06018066406
340.6,336.58029174805
341,336.10021972656
341.3,336.64447021484
341.4,337.1257019043
342.4,339.14862060547
343.2,340.57702636719
343.8,342.56564331055
344.2,340.74353027344
344.4,341.78274536133
345.4,340.82205200195
346.7,341.36535644531
347.3,344.75445556641
347.4,344.73599243164
347.5,343.63397216797
347.6,343.46408081055
347.6,343.34936523438
347.7,342.57977294922
347.8,342.25476074219
347.9,342.02667236328
348,341.71667480469
345.2,341.15145874023
342.5,340.39614868164
340,339.44009399414
337.9,338.97528076172
337.2,338.09170532227
336.2,337.82385253906
334.8,337.16171264648
333.4,336.48876953125
332.1,335.45306396484
330.7,335.61743164062
329.2,335.7555847168
328.1,335.77166748047
327.5,335.64184570312
325.5,335.20343017578
329.1,334.89141845703
334.7,334.86282348633
338.5,334.75903320312
341.3,334.63418579102
344,334.29061889648
343.7,333.63626098633
343.5,333.50646972656
343.2,334.09280395508
342.9,333.88345336914
342.5,333.87145996094
342,333.54067993164
341.8,333.66589355469
340.9,333.70040893555
338.8,333.50463867188
337,332.73669433594
336.5,332.14044189453
336.1,332.041015625
335.7,332.33474731445
335,332.46881103516
334.3,333.25527954102
333.6,333.03259277344
333.2,332.82336425781
332.7,331.94198608398
331.4,329.826171875
330,328.8190612793
328.8,328.90142822266
328,329.60510253906
326.4,332.02282714844
325.8,332.88668823242
325.6,332.92190551758
325.3,332.99392700195
325.3,332.99392700195
325,333.23175048828
